store_name,store_serial,check_date,checklist_number,module_id,module_cn,matched_clause,label,check_items,issue_description,deduction_type,severity,deduction_value,checker,match_method,estimated_responsibility
Penn Station,US00007,2026-03-22,CK-2026-1023,4,交叉污染防控,4.3.1,Avoidance of Falling Foreign Objects,Measures are in place to avoid falling foreign objects into food is verified,Water filter replacement is overdue by two weeks,General,G,-2,Zhang Wei,text_match,机修
Penn Station,US00007,2026-03-22,CK-2026-1023,5,清洁卫生,5.3.1,Procedures for Cleaning and Disinfection,(G) Food processing area is maintained in clean and sanitary condition,Cutting board has deep grooves and needs replacement,General,G,-2,Zhang Wei,text_match,机修
Penn Station,US00007,2026-03-22,CK-2026-1023,9,虫害防控,9.2.2,No pests enter,(G) All entry points are sealed to prevent pests from entering,No air gap found in plumbing connection under three-compartment sink,General,G,-2,Zhang Wei,text_match,营建
Penn Station,US00007,2026-03-22,CK-2026-1023,10,饮用水与管道系统,10.2.2,Water Filtration Device,"(G) Grease traps, residue traps and sewer lines are cleaned regularly is verified",Cutting board has deep grooves and needs replacement,General,G,-2,Zhang Wei,text_match,机修
Union Square,US00010,2026-03-25,CK-2026-1029,1,证照文件记录,1.1.2,Government inspection,(L) Business registration certificate is current and accessible,Personal items found in food preparation area,General,G,-2,Wang Fang,text_match,门店
Union Square,US00010,2026-03-25,CK-2026-1029,2,员工健康与个人卫生,2.3.3,Disposable Gloves and Blue Bandages,Blue bandages are available and used fo,Mold observed on ceiling tiles near ventilation duct,General,G,-2,Wang Fang,text_match,营建
Union Square,US00010,2026-03-25,CK-2026-1029,5,清洁卫生,5.2.2,"Operation Stand, Shelf, Cabinet and Water Sink","Operation stands, shelves, cabinets and water sinks is clean and orderly",Cutting board has deep grooves and needs replacement,General,G,-2,Wang Fang,text_match,机修
Wall Street,US00004,2026-03-02,CK-2026-1019,3,供应商管理,3.1.2,Approved Goods,Supplier certifications and quality do,Employee health certificate expired last month,General,G,-2,Zhang Wei,text_match,门店
Wall Street,US00004,2026-03-02,CK-2026-1019,5,清洁卫生,5.3.2,Food Processing Area,"Floors, walls and ceilings in food areas is clean and in good repair",Raw chicken stored above ready-to-eat items in refrigerator,General,G,-2,Zhang Wei,text_match,门店
Wall Street,US00004,2026-03-02,CK-2026-1019,6,产品与有效期管理,6.3.1,Operating Specifications,(L) Expiration dates are checked daily and expired items are removed,Cutting board has deep grooves and needs replacement,General,G,-2,Zhang Wei,text_match,机修
Wall Street,US00004,2026-03-02,CK-2026-1019,10,饮用水与管道系统,10.3.1,Grease traps&Residue traps&Sewer lines,(G) Proper air gaps are maintained in plu,"Ice machine leaking water, needs repair by maintenance team",General,G,-2,Zhang Wei,text_match,机修
Wall Street,US00004,2026-03-02,CK-2026-1019,10,饮用水与管道系统,10.1.2,Potable Water Supply is Adequate,Potable water supply is adequate for al,Operating license not displayed in customer visible area,General,G,-2,Zhang Wei,text_match,门店
28th & 6th,US00006,2026-03-25,CK-2026-1021,5,清洁卫生,5.1.1,Procedures for Cleaning and Disinfection,(L) Cleaning and disinfection procedures are followed according to schedule,Gloves not worn during food preparation observed,Slight,L,-1,Li Ming,text_match,门店
28th & 6th,US00006,2026-03-25,CK-2026-1021,5,清洁卫生,5.4.2,Trash Cans,(L) (L) Trash cans are emptied regularly and lids are in working condition,Gloves not worn during food preparation observed,Slight,L,-1,Li Ming,text_match,门店
28th & 6th,US00006,2026-03-25,CK-2026-1021,5,清洁卫生,5.1.2,Equipment and Food Processing Utensils,Cleaning schedule is posted and signed off daily,Pest trap behind counter not checked in 30+ days,Slight,L,-1,Li Ming,text_match,门店
28th & 6th,US00006,2026-03-25,CK-2026-1021,6,产品与有效期管理,6.4.1,Storage and Inventory Transfer of Food,(L) Unqualified goods are segregated and properly documented is verified,Temperature log not completed for main refrigerator today,Slight,L,-1,Li Ming,text_match,门店
28th & 6th,US00006,2026-03-25,CK-2026-1021,10,饮用水与管道系统,10.2.2,Water Filtration Device,"(L) (G) Grease traps, residue traps and sewer lines are cleaned regularly","Ice machine leaking water, needs repair by maintenance team",Slight,L,-1,Li Ming,text_match,机修
Bryant Park,US00003,2026-03-28,CK-2026-1018,3,供应商管理,3.2.1,Approved Goods,Incoming goods are inspected and documented upon delivery,Employee health certificate expired last month,Slight,L,-1,Chen Yu,text_match,门店
Bryant Park,US00003,2026-03-28,CK-2026-1018,10,饮用水与管道系统,10.1.2,Grease traps&Residue traps&Sewer lines,(L) Potable water supply is adequate for all operational needs,Raw chicken stored above ready-to-eat items in refrigerator,Slight,L,-1,Chen Yu,text_match,门店
Columbus Circle,US00009,2026-03-06,CK-2026-1027,2,员工健康与个人卫生,2.3.2,Disposable Gloves and Blue Bandages,(L) Disposable gloves are used during food preparation and changed between tasks,"Ice machine leaking water, needs repair by maintenance team",Slight,L,-1,Wang Fang,text_match,机修
Columbus Circle,US00009,2026-03-06,CK-2026-1027,5,清洁卫生,5.1.1,Customer Area,(G) Cleaning and disinfection procedures are followed according to schedule,"Ice machine leaking water, needs repair by maintenance team",Slight,L,-1,Wang Fang,text_match,机修
Columbus Circle,US00009,2026-03-06,CK-2026-1027,6,产品与有效期管理,6.2.1,Product Storage Conditions,(L) Product storage conditions meet specification requirements,Temperature log not completed for main refrigerator today,Slight,L,-1,Wang Fang,text_match,门店
Columbus Circle,US00009,2026-03-06,CK-2026-1027,8,化学品管理,8.1.2,Chemical Mark/Storage,Chemical storage area is separate from food preparation and storage areas is verified,Chemical storage bottles not properly labeled with contents,Slight,L,-1,Wang Fang,text_match,门店
Herald Square,US00002,2026-03-19,CK-2026-1016,1,证照文件记录,1.2.1,License Documents,All required government permits is posted in customer-visible area,Mold observed on ceiling tiles near ventilation duct,Slight,L,-1,Li Ming,text_match,营建
Herald Square,US00002,2026-03-19,CK-2026-1016,2,员工健康与个人卫生,2.3.2,Personal Hygiene,Disposable gloves are used during food preparation and changed between tasks,Employee health certificate expired last month,Slight,L,-1,Li Ming,text_match,门店
Herald Square,US00002,2026-03-19,CK-2026-1016,5,清洁卫生,5.4.2,Procedures for Cleaning and Disinfection,Trash cans is emptied regularly and lids is in working condition,Water filter replacement is overdue by two weeks,Slight,L,-1,Li Ming,text_match,机修
Herald Square,US00002,2026-03-19,CK-2026-1016,6,产品与有效期管理,6.3.2,Food,Food preparation follows standard operating specifications,"Ice machine leaking water, needs repair by maintenance team",Slight,L,-1,Li Ming,text_match,机修
Herald Square,US00002,2026-03-19,CK-2026-1016,8,化学品管理,8.1.1,Chemical Mark/Storage,All chemicals are properly labeled and stored in designated area is verified,Handwashing station missing soap dispenser refill,Slight,L,-1,Li Ming,text_match,门店
Herald Square,US00002,2026-03-19,CK-2026-1016,12,门店稽核管理,12.1.1,Requirements,(G) Store audit management procedures and checklists are followed,Temperature log not completed for main refrigerator today,Slight,L,-1,Li Ming,text_match,门店
JFK Terminal 1,US00008,2026-03-27,CK-2026-1024,1,证照文件记录,1.3.1,Government inspection,Government inspection records are ma,Light fixture cover cracked in food prep area,Slight,L,-1,Zhang Wei,text_match,机修
JFK Terminal 1,US00008,2026-03-27,CK-2026-1024,4,交叉污染防控,4.1.1,Avoidance of Falling Foreign Objects,Raw and cooked food items are stored separately to prevent cross contamination is verified,Operating license not displayed in customer visible area,Slight,L,-1,Zhang Wei,text_match,门店
Midtown East,US00005,2026-03-04,CK-2026-1020,1,证照文件记录,1.2.2,Government inspection,License renewal dates are tracked and upd,Mold observed on ceiling tiles near ventilation duct,Slight,L,-1,Chen Yu,text_match,营建
Midtown East,US00005,2026-03-04,CK-2026-1020,1,证照文件记录,1.1.2,Licenses and certificates,Business registration certificate is current and accessible,Trash can lid broken and does not close properly,Slight,L,-1,Chen Yu,text_match,机修
Midtown East,US00005,2026-03-04,CK-2026-1020,2,员工健康与个人卫生,2.3.3,Personal certificate,Blue bandages is available and used for any cuts or wounds,Chemical storage bottles not properly labeled with contents,Slight,L,-1,Chen Yu,text_match,门店
Midtown East,US00005,2026-03-04,CK-2026-1020,2,员工健康与个人卫生,2.3.2,Personal certificate,(G) Disposable gloves are used during food preparation and changed between tasks,"Ice machine leaking water, needs repair by maintenance team",Slight,L,-1,Chen Yu,text_match,机修
Midtown East,US00005,2026-03-04,CK-2026-1020,2,员工健康与个人卫生,2.3.2,Handwashing Standards,Disposable gloves are used during food preparation and changed between tasks,Food storage containers not labeled with preparation date,Slight,L,-1,Chen Yu,text_match,门店
Midtown East,US00005,2026-03-04,CK-2026-1020,6,产品与有效期管理,6.2.2,Operating Specifications,(L) Food items are stored using FIFO method with proper date labels,"Floor not clean under the sink area, standing water observed",Slight,L,-1,Chen Yu,text_match,门店
Midtown East,US00005,2026-03-04,CK-2026-1020,12,门店稽核管理,12.1.2,Requirements,(L) Previous audit findings have been addre,Cutting board has deep grooves and needs replacement,Slight,L,-1,Chen Yu,text_match,机修
Penn Station,US00007,2026-03-22,CK-2026-1023,2,员工健康与个人卫生,2.2.2,Personal certificate,Handwashing station is fully stocked with soap and paper towels,"Floor not clean under the sink area, standing water observed",Slight,L,-1,Zhang Wei,text_match,门店
Penn Station,US00007,2026-03-22,CK-2026-1023,6,产品与有效期管理,6.1.1,Operating Specifications,(L) (G) Temperature monitoring devices are installed in all refrigerators and freezers,Employee health certificate expired last month,Slight,L,-1,Zhang Wei,text_match,门店
Penn Station,US00007,2026-03-22,CK-2026-1023,10,饮用水与管道系统,10.2.2,Potable Water Supply is Adequate,"Grease traps, residue traps and sewer line",Freezer temperature reading above -18C acceptable range,Slight,L,-1,Zhang Wei,text_match,门店
Penn Station,US00007,2026-03-22,CK-2026-1023,10,饮用水与管道系统,10.2.1,Potable Water Supply is Adequate,(L) (L) Water sinks and pipes are in good condition without leaks,Pest trap behind counter not checked in 30+ days,Slight,L,-1,Zhang Wei,text_match,门店
Penn Station,US00007,2026-03-22,CK-2026-1023,11,工作场所安全,11.1.1,Workplace Safety,Workplace safety procedures is posted and employees is trained,Employee health certificate expired last month,Slight,L,-1,Zhang Wei,text_match,门店
Penn Station,US00007,2026-03-22,CK-2026-1023,12,门店稽核管理,12.2.1,Requirements,Corrective action records are maintained for all identified issues,Employee health certificate expired last month,Slight,L,-1,Zhang Wei,text_match,门店
Union Square,US00010,2026-03-25,CK-2026-1029,1,证照文件记录,1.1.2,License Documents,(G) Business registration certificate is current and accessible,Food storage containers not labeled with preparation date,Slight,L,-1,Wang Fang,text_match,门店
Union Square,US00010,2026-03-25,CK-2026-1029,2,员工健康与个人卫生,2.2.2,Handwashing Standards,Handwashing station is fully stocked with soap and paper towels is verified,Trash can lid broken and does not close properly,Slight,L,-1,Wang Fang,text_match,机修
Union Square,US00010,2026-03-25,CK-2026-1029,5,清洁卫生,5.1.2,Trash Cans,Cleaning schedule is posted and si,Food item past expiration date found in cold storage area,Slight,L,-1,Wang Fang,text_match,门店
Union Square,US00010,2026-03-25,CK-2026-1029,6,产品与有效期管理,6.3.2,Food,Food preparation follows standard operating specifications is verified,Freezer temperature reading above -18C acceptable range,Slight,L,-1,Wang Fang,text_match,门店
Union Square,US00010,2026-03-25,CK-2026-1029,6,产品与有效期管理,6.2.1,Product Storage Conditions,(L) Product storage conditions meet specifi,Mold observed on ceiling tiles near ventilation duct,Slight,L,-1,Wang Fang,text_match,营建
Union Square,US00010,2026-03-25,CK-2026-1029,8,化学品管理,8.2.1,Chemical Mark/Storage,(L) MSDS sheets are available for all chemic,Water filter replacement is overdue by two weeks,Slight,L,-1,Wang Fang,text_match,机修
Wall Street,US00004,2026-03-02,CK-2026-1019,1,证照文件记录,1.3.1,Licenses and certificates,(L) (G) Government inspection records are maintained on file,Freezer temperature reading above -18C acceptable range,Slight,L,-1,Zhang Wei,text_match,门店
Wall Street,US00004,2026-03-02,CK-2026-1019,4,交叉污染防控,4.1.2,Storage/Maintenance of Utensils,(L) Cutting boards and utensils are designated for specific food types,Operating license not displayed in customer visible area,Slight,L,-1,Zhang Wei,text_match,门店
Wall Street,US00004,2026-03-02,CK-2026-1019,6,产品与有效期管理,6.3.1,Operating Specifications,Expiration dates are checked daily and expired items are removed,Temperature log not completed for main refrigerator today,Slight,L,-1,Zhang Wei,text_match,门店
Wall Street,US00004,2026-03-02,CK-2026-1019,10,饮用水与管道系统,10.1.1,Water Filtration Device,(L) (L) Water filtration device is installed and filter is changed on schedule,Light fixture cover cracked in food prep area,Slight,L,-1,Zhang Wei,text_match,机修
Wall Street,US00004,2026-03-02,CK-2026-1019,12,门店稽核管理,12.1.1,Requirements,(L) Store audit management procedures and checklists are followed,Grease trap cleaning overdue per maintenance schedule,Slight,L,-1,Zhang Wei,text_match,机修
Wall Street,US00004,2026-03-02,CK-2026-1019,12,门店稽核管理,12.2.1,Requirements,(L) Corrective action records are maintained for all identified issues,Grease trap cleaning overdue per maintenance schedule,Slight,L,-1,Zhang Wei,text_match,机修
