check_items_full,empapp_label,count,module_id,module_cn,module_en,matched_clause,match_score,match_method,match_confidence,text_severity,severity,severity_mismatch,check_items_preview
(G) Employee health screening records ,Handwashing Standards,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.2,0.776,text_match,medium,,G,False,(G) Employee health screening records 
(G) Employee health screening records is up to date,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.2,0.909,text_match,high,,G,False,(G) Employee health screening records is up to date
(L) Disposable gloves are used during food preparation and changed between tasks,Disposable Gloves and Blue Bandages,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,1.0,text_match,high,L,L,False,(L) Disposable gloves are used during food preparation and changed between tasks
(L) Handwashing station is fully stocked with soap and paper towels,Handwashing Standards,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,1.0,text_match,high,L,G,True,(L) Handwashing station is fully stocked with soap and paper towels
Blue bandages are available and used fo,Disposable Gloves and Blue Bandages,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.3,0.9,text_match,high,,G,False,Blue bandages are available and used fo
Blue bandages are available and used for any cuts or wounds is verified,Personal Hygiene,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.3,0.9,text_match,high,,O,False,Blue bandages are available and used for any cuts or wounds is verified
Blue bandages is available and used for any cuts or wounds,Disposable Gloves and Blue Bandages,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.3,0.957,text_match,high,,L,False,Blue bandages is available and used for any cuts or wounds
Blue bandages is available and used for any cuts or wounds,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.3,0.957,text_match,high,,L,False,Blue bandages is available and used for any cuts or wounds
Disposable gloves are used during food preparation and changed between tasks,Handwashing Standards,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,1.0,text_match,high,,L,False,Disposable gloves are used during food preparation and changed between tasks
Disposable gloves are used during food preparation and changed between tasks,Personal Hygiene,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,1.0,text_match,high,,L,False,Disposable gloves are used during food preparation and changed between tasks
Disposable gloves are used during food preparation and changed between tasks is verified,Employees' Health,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.2,0.9,text_match,high,,O,False,Disposable gloves are used during food preparation and changed between tasks is 
Employee health screening records ,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.1.2,0.9,text_match,high,,O,False,Employee health screening records 
Employees wear clean uniforms and proper hair restraints,Disposable Gloves and Blue Bandages,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.3.1,1.0,text_match,high,,O,False,Employees wear clean uniforms and proper hair restraints
Handwashing station is fully stocked with soap and paper towels,Handwashing Standards,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,1.0,text_match,high,,M,False,Handwashing station is fully stocked with soap and paper towels
Handwashing station is fully stocked with soap and paper towels,Personal certificate,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,1.0,text_match,high,,L,False,Handwashing station is fully stocked with soap and paper towels
Handwashing station is fully stocked with soap and paper towels is verified,Employees' Health,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,0.9,text_match,high,,O,False,Handwashing station is fully stocked with soap and paper towels is verified
Handwashing station is fully stocked with soap and paper towels is verified,Handwashing Standards,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.2,0.9,text_match,high,,L,False,Handwashing station is fully stocked with soap and paper towels is verified
Staff demonstrate proper handwashing technique and frequency,Employees' Health,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.1,1.0,text_match,high,,L,False,Staff demonstrate proper handwashing technique and frequency
Staff demonstrate proper handwashing technique and frequency,Personal Hygiene,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.1,1.0,text_match,high,,L,False,Staff demonstrate proper handwashing technique and frequency
Staff demonstrate proper handwashing technique and frequency is verified,Employees' Health,1,2,员工健康与个人卫生,Employees' Health & Personal Hygiene,2.2.1,0.9,text_match,high,,O,False,Staff demonstrate proper handwashing technique and frequency is verified
Supplier certifications and quality do,Approved Goods,2,3,供应商管理,Approved Supplier,3.1.2,0.9,text_match,high,,G,False,Supplier certifications and quality do
(G) All food supplies are from approved suppliers on the vendor list,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.1,0.9,text_match,high,,O,False,(G) All food supplies are from approved suppliers on the vendor list
All food supplies are from approved suppli,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.1,0.9,text_match,high,,G,False,All food supplies are from approved suppli
Incoming goods are inspected and documented upon delivery,Approved Goods,1,3,供应商管理,Approved Supplier,3.2.1,1.0,text_match,high,,L,False,Incoming goods are inspected and documented upon delivery
Incoming goods are inspected and documented upon delivery is verified,Approved Goods,1,3,供应商管理,Approved Supplier,3.2.1,0.9,text_match,high,,O,False,Incoming goods are inspected and documented upon delivery is verified
Supplier certifications and quality documents are on file,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.2,1.0,text_match,high,,M,False,Supplier certifications and quality documents are on file
(L) Cutting boards and utensils are designated for specific food types,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.2,1.0,text_match,high,L,O,True,(L) Cutting boards and utensils are designated for specific food types
(L) Cutting boards and utensils are designated for specific food types,Storage/Maintenance of Utensils,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.2,1.0,text_match,high,L,L,False,(L) Cutting boards and utensils are designated for specific food types
(L) Utensils are properly stored and maintained to prevent contamination,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,1.0,text_match,high,L,O,True,(L) Utensils are properly stored and maintained to prevent contamination
Cutting boards and utensils is designated for specific food types,Avoidance of Falling Foreign Objects,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.2,0.962,text_match,high,,O,False,Cutting boards and utensils is designated for specific food types
Materials are stored in designated locations according to specification,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.1,1.0,text_match,high,,L,False,Materials are stored in designated locations according to specification
Materials are stored in designated locations according to specification is verified,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.1,0.9,text_match,high,,O,False,Materials are stored in designated locations according to specification is verif
Measures are in place to avoid falling foreign objects into food is verified,Avoidance of Falling Foreign Objects,1,4,交叉污染防控,Prevention of Cross-contamination,4.3.1,0.9,text_match,high,,G,False,Measures are in place to avoid falling foreign objects into food is verified
Measures is in place to avoid falling foreign objects into food,Storage/Maintenance of Utensils,1,4,交叉污染防控,Prevention of Cross-contamination,4.3.1,0.961,text_match,high,,L,False,Measures is in place to avoid falling foreign objects into food
Raw and cooked food items are stored separately t,Avoidance of Falling Foreign Objects,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.1,0.9,text_match,high,,G,False,Raw and cooked food items are stored separately t
Raw and cooked food items are stored separately t,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.1,0.9,text_match,high,,O,False,Raw and cooked food items are stored separately t
Raw and cooked food items are stored separately to prevent cross contamination is verified,Avoidance of Falling Foreign Objects,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.1,0.9,text_match,high,,L,False,Raw and cooked food items are stored separately to prevent cross contamination i
Utensils are properly stored and maintained ,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,0.9,text_match,high,,L,False,Utensils are properly stored and maintained 
(G) Equipment and food processing utensils are cleaned after each use,Trash Cans,2,5,清洁卫生,Sanitation and Hygiene,5.2.1,0.9,text_match,high,,G,False,(G) Equipment and food processing utensils are cleaned after each use
Equipment and food processing utensils are cleaned after each use,Food Processing Area,2,5,清洁卫生,Sanitation and Hygiene,5.2.1,1.0,text_match,high,,G,False,Equipment and food processing utensils are cleaned after each use
(G) (G) Cleaning schedule is posted and signed off daily,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.1.2,0.9,text_match,high,,G,False,(G) (G) Cleaning schedule is posted and signed off daily
(G) Cleaning and disinfection procedures are followed according to schedule,Customer Area,1,5,清洁卫生,Sanitation and Hygiene,5.1.1,0.9,text_match,high,,L,False,(G) Cleaning and disinfection procedures are followed according to schedule
(G) Equipment and food processing utensils are cleaned after each use,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.2.1,0.9,text_match,high,,G,False,(G) Equipment and food processing utensils are cleaned after each use
(G) Food processing area is maintained in clean and sanitary condition,Food Processing Area,1,5,清洁卫生,Sanitation and Hygiene,5.3.1,0.9,text_match,high,,L,False,(G) Food processing area is maintained in clean and sanitary condition
(G) Food processing area is maintained in clean and sanitary condition,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.3.1,0.9,text_match,high,,G,False,(G) Food processing area is maintained in clean and sanitary condition
"(G) Operation stands, shelves, cabinets and water sinks are clean and orderly",Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.9,text_match,high,,O,False,"(G) Operation stands, shelves, cabinets and water sinks are clean and orderly"
(L) (L) Trash cans are emptied regularly and lids are in working condition,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,0.9,text_match,high,L,L,False,(L) (L) Trash cans are emptied regularly and lids are in working condition
(L) Cleaning and disinfection procedures are foll,"Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.1.1,0.9,text_match,high,L,L,False,(L) Cleaning and disinfection procedures are foll
(L) Cleaning and disinfection procedures are followed according to schedule,Customer Area,1,5,清洁卫生,Sanitation and Hygiene,5.1.1,1.0,text_match,high,L,L,False,(L) Cleaning and disinfection procedures are followed according to schedule
(L) Cleaning and disinfection procedures are followed according to schedule,Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.1.1,1.0,text_match,high,L,O,True,(L) Cleaning and disinfection procedures are followed according to schedule
(L) Cleaning and disinfection procedures are followed according to schedule,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.1.1,1.0,text_match,high,L,L,False,(L) Cleaning and disinfection procedures are followed according to schedule
"(L) Operation stands, shelves, cabinets and water sinks are clean and orderly",Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,1.0,text_match,high,L,O,True,"(L) Operation stands, shelves, cabinets and water sinks are clean and orderly"
(L) Trash cans are emptied regularly and lids are in working condition,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,1.0,text_match,high,L,O,True,(L) Trash cans are emptied regularly and lids are in working condition
(L) Trash cans are emptied regularly and lids are in working condition is verified,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,0.9,text_match,high,L,L,False,(L) Trash cans are emptied regularly and lids are in working condition is verifi
Cleaning schedule is posted and si,Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.1.2,0.9,text_match,high,,S,False,Cleaning schedule is posted and si
Cleaning schedule is posted and si,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.1.2,0.9,text_match,high,,L,False,Cleaning schedule is posted and si
Cleaning schedule is posted and signed off daily,Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.1.2,1.0,text_match,high,,L,False,Cleaning schedule is posted and signed off daily
Cleaning schedule is posted and signed off daily,"Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.1.2,1.0,text_match,high,,O,False,Cleaning schedule is posted and signed off daily
Cleaning schedule is posted and signed off daily is verified,Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.1.2,0.9,text_match,high,,M,False,Cleaning schedule is posted and signed off daily is verified
Customer area tables and seating are clean and well-maintained is verified,Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.4.1,0.9,text_match,high,,O,False,Customer area tables and seating are clean and well-maintained is verified
Customer area tables and seating are clean and well-maintained is verified,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.4.1,0.9,text_match,high,,M,False,Customer area tables and seating are clean and well-maintained is verified
Customer area tables and seating is clean and well-maintained,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.4.1,0.959,text_match,high,,M,False,Customer area tables and seating is clean and well-maintained
"Floors, walls and ceilings in food areas are clean and in good repair",Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.3.2,1.0,text_match,high,,M,False,"Floors, walls and ceilings in food areas are clean and in good repair"
"Floors, walls and ceilings in food areas are clean and in good repair is verified","Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.3.2,0.9,text_match,high,,O,False,"Floors, walls and ceilings in food areas are clean and in good repair is verifie"
"Floors, walls and ceilings in food areas is clean and in good repair",Food Processing Area,1,5,清洁卫生,Sanitation and Hygiene,5.3.2,0.964,text_match,high,,G,False,"Floors, walls and ceilings in food areas is clean and in good repair"
Food processing area is maintained in clean and sanitary condition,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.3.1,1.0,text_match,high,,L,False,Food processing area is maintained in clean and sanitary condition
"Operation stands, shelves, cabinets and water sinks are clean and orderly is verified",Customer Area,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.9,text_match,high,,G,False,"Operation stands, shelves, cabinets and water sinks are clean and orderly is ver"
"Operation stands, shelves, cabinets and water sinks are clean and orderly is verified",Food Processing Area,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.9,text_match,high,,G,False,"Operation stands, shelves, cabinets and water sinks are clean and orderly is ver"
"Operation stands, shelves, cabinets and water sinks is clean and orderly",Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.966,text_match,high,,O,False,"Operation stands, shelves, cabinets and water sinks is clean and orderly"
"Operation stands, shelves, cabinets and water sinks is clean and orderly","Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.966,text_match,high,,G,False,"Operation stands, shelves, cabinets and water sinks is clean and orderly"
Trash cans is emptied regularly and lids is in working condition,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,0.923,text_match,high,,L,False,Trash cans is emptied regularly and lids is in working condition
(G) Unqualified goods are segregated and properly documented,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.9,text_match,high,,G,False,(G) Unqualified goods are segregated and properly documented
(L) (G) Temperature monitoring devices are installed in all refrigerators and freezers,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,L,L,False,(L) (G) Temperature monitoring devices are installed in all refrigerators and fr
(L) Expiration dates are checked daily and expired items are removed,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,1.0,text_match,high,L,G,True,(L) Expiration dates are checked daily and expired items are removed
(L) Food items are stored using FIFO method with proper date labels,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.2,1.0,text_match,high,L,L,False,(L) Food items are stored using FIFO method with proper date labels
(L) Food preparation follows standard operating specifications,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.2,1.0,text_match,high,L,O,True,(L) Food preparation follows standard operating specifications
(L) Product storage conditions meet specifi,Product Storage Conditions,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.1,0.9,text_match,high,L,L,False,(L) Product storage conditions meet specifi
(L) Product storage conditions meet specification requirements,Product Storage Conditions,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.1,1.0,text_match,high,L,L,False,(L) Product storage conditions meet specification requirements
(L) Unqualified goods are segregated and properly documented is verified,Storage and Inventory Transfer of Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.9,text_match,high,L,L,False,(L) Unqualified goods are segregated and properly documented is verified
(M) Temperature logs are completed and recorded at required intervals,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,1.0,text_match,high,M,M,False,(M) Temperature logs are completed and recorded at required intervals
Expiration dates are checked daily and exp,Unqualified Goods,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,0.9,text_match,high,,O,False,Expiration dates are checked daily and exp
Expiration dates are checked daily and expired items are removed,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,1.0,text_match,high,,G,False,Expiration dates are checked daily and expired items are removed
Expiration dates are checked daily and expired items are removed,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,1.0,text_match,high,,L,False,Expiration dates are checked daily and expired items are removed
Expiration dates are checked daily and expired items are removed is verified,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,0.9,text_match,high,,G,False,Expiration dates are checked daily and expired items are removed is verified
Food preparation follows standard operating specifications,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.2,1.0,text_match,high,,L,False,Food preparation follows standard operating specifications
Food preparation follows standard operating specifications is verified,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.2,0.9,text_match,high,,L,False,Food preparation follows standard operating specifications is verified
Temperature logs are completed and recorded at required intervals is verified,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.9,text_match,high,,L,False,Temperature logs are completed and recorded at required intervals is verified
Temperature logs is completed and recorded at required intervals,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.961,text_match,high,,O,False,Temperature logs is completed and recorded at required intervals
Temperature logs is completed and recorded at required intervals,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.961,text_match,high,,O,False,Temperature logs is completed and recorded at required intervals
Temperature monitoring devices are installed in a,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,,G,False,Temperature monitoring devices are installed in a
Temperature monitoring devices are installed in a,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,,L,False,Temperature monitoring devices are installed in a
Temperature monitoring devices are installed in all refrigerators and freezers,Unqualified Goods,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,1.0,text_match,high,,L,False,Temperature monitoring devices are installed in all refrigerators and freezers
Temperature monitoring devices are installed in all refrigerators and freezers is verified,Product Storage Conditions,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,,G,False,Temperature monitoring devices are installed in all refrigerators and freezers i
(G) Equipment is inspected regularly and maintenance records are kept,Equipment Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.1.1,0.9,text_match,high,,O,False,(G) Equipment is inspected regularly and maintenance records are kept
(G) Refrigeration equipment is functioning within proper temperature ranges,Equipment Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.2,0.9,text_match,high,,G,False,(G) Refrigeration equipment is functioning within proper temperature ranges
Equipment is inspected regularly and maint,Equipment Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.1.1,0.9,text_match,high,,L,False,Equipment is inspected regularly and maint
Lighting fixtures in food preparation areas ar,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.1,0.9,text_match,high,,G,False,Lighting fixtures in food preparation areas ar
Lighting fixtures in food preparation areas are protected and functional,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.1,1.0,text_match,high,,O,False,Lighting fixtures in food preparation areas are protected and functional
Lighting fixtures in food preparation areas are protected and functional is verified,Lights,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.1,0.9,text_match,high,,G,False,Lighting fixtures in food preparation areas are protected and functional is veri
(G) Chemical storage area is separate from food preparation and storage areas,Chemical Mark/Storage,2,8,化学品管理,Chemicals,8.1.2,0.9,text_match,high,,L,False,(G) Chemical storage area is separate from food preparation and storage areas
(G) MSDS sheets are available for all chemicals used on premises,Chemical Mark/Storage,2,8,化学品管理,Chemicals,8.2.1,0.9,text_match,high,,O,False,(G) MSDS sheets are available for all chemicals used on premises
All chemicals is properly labeled and stored in designated area,Chemical Mark/Storage,2,8,化学品管理,Chemicals,8.1.1,0.961,text_match,high,,L,False,All chemicals is properly labeled and stored in designated area
Chemical storage area is separate from food preparation and storage areas is verified,Chemical Mark/Storage,2,8,化学品管理,Chemicals,8.1.2,0.9,text_match,high,,L,False,Chemical storage area is separate from food preparation and storage areas is ver
MSDS sheets are available for all chemicals used on premises is verified,Chemical Mark/Storage,2,8,化学品管理,Chemicals,8.2.1,0.9,text_match,high,,L,False,MSDS sheets are available for all chemicals used on premises is verified
(G) MSDS sheets is available for all chemicals used on premises,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.2.1,0.927,text_match,high,,G,False,(G) MSDS sheets is available for all chemicals used on premises
(L) All chemicals are properly labeled and stored in designated area,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.1,1.0,text_match,high,L,L,False,(L) All chemicals are properly labeled and stored in designated area
(L) Chemical storage area is separate from food preparation and storage areas,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.2,1.0,text_match,high,L,O,True,(L) Chemical storage area is separate from food preparation and storage areas
(L) MSDS sheets are available for all chemic,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.2.1,0.9,text_match,high,L,L,False,(L) MSDS sheets are available for all chemic
All chemicals are properly labeled and stored in designated area is verified,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.1,0.9,text_match,high,,L,False,All chemicals are properly labeled and stored in designated area is verified
MSDS sheets is available for all chemicals used on premises,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.2.1,0.958,text_match,high,,O,False,MSDS sheets is available for all chemicals used on premises
(G) All entry points are sealed to prevent pests from entering,No pests enter,1,9,虫害防控,Pests Control,9.2.2,0.9,text_match,high,,G,False,(G) All entry points are sealed to prevent pests from entering
(G) Pest control facilities including traps are properly maintained,Insect Pest Control Facilities & Suppliers,1,9,虫害防控,Pests Control,9.1.2,0.9,text_match,high,,L,False,(G) Pest control facilities including traps are properly maintained
(L) (G) Pest control service contract is current with licensed provider,Insect Pest Control Facilities & Suppliers,1,9,虫害防控,Pests Control,9.1.1,0.9,text_match,high,L,L,False,(L) (G) Pest control service contract is current with licensed provider
All entry points are sealed to prevent pests from entering,Insect Pest Control Facilities & Suppliers,1,9,虫害防控,Pests Control,9.2.2,1.0,text_match,high,,G,False,All entry points are sealed to prevent pests from entering
(G) (L) Water filtration device is installed and filter is changed on schedule,Water Filtration Device,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.1,0.9,text_match,high,,G,False,(G) (L) Water filtration device is installed and filter is changed on schedule
"(G) Grease traps, residue traps and sewer lines are cleaned regularly",Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,,O,False,"(G) Grease traps, residue traps and sewer lines are cleaned regularly"
"(G) Grease traps, residue traps and sewer lines are cleaned regularly is verified",Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,,G,False,"(G) Grease traps, residue traps and sewer lines are cleaned regularly is verifie"
"(G) Grease traps, residue traps and sewer lines are cleaned regularly is verified",Water Filtration Device,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,,G,False,"(G) Grease traps, residue traps and sewer lines are cleaned regularly is verifie"
(G) Proper air gaps are maintained in plu,Grease traps&Residue traps&Sewer lines,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.3.1,0.779,text_match,medium,,G,False,(G) Proper air gaps are maintained in plu
"(L) (G) Grease traps, residue traps and sewer lines are cleaned regularly",Water Filtration Device,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.2,0.9,text_match,high,L,L,False,"(L) (G) Grease traps, residue traps and sewer lines are cleaned regularly"
(L) (L) Water filtration device is installed and filter is changed on schedule,Water Filtration Device,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.1.1,0.9,text_match,high,L,L,False,(L) (L) Water filtration device is installed and filter is changed on schedule
(L) (L) Water sinks and pipes are in good condition without leaks,Potable Water Supply is Adequate,1,10,饮用水与管道系统,"Potable Water, Pipes & Water Systems",10.2.1,0.9,text_match,high,L,L,False,(L) (L) Water sinks and pipes are in good condition without leaks
