check_items_full,empapp_label,count,module_id,module_cn,module_en,matched_clause,match_score,match_method,match_confidence,text_severity,severity,severity_mismatch,check_items_preview
(L) Incoming goods are inspected and documented upon delivery,Approved Goods,1,3,供应商管理,Approved Supplier,3.2.1,1.0,text_match,high,L,O,True,(L) Incoming goods are inspected and documented upon delivery
All food supplies are from approved suppliers on the vendor list,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.1,1.0,text_match,high,,L,False,All food supplies are from approved suppliers on the vendor list
All food supplies are from approved suppliers on the vendor list is verified,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.1,0.9,text_match,high,,L,False,All food supplies are from approved suppliers on the vendor list is verified
All food supplies is from approved suppliers on the vendor list,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.1,0.961,text_match,high,,L,False,All food supplies is from approved suppliers on the vendor list
Incoming goods is inspected and documented upon delivery,Approved Goods,1,3,供应商管理,Approved Supplier,3.2.1,0.956,text_match,high,,L,False,Incoming goods is inspected and documented upon delivery
Supplier certifications and quality documents are on file is verified,Approved Goods,1,3,供应商管理,Approved Supplier,3.1.2,0.9,text_match,high,,G,False,Supplier certifications and quality documents are on file is verified
(G) (G) Utensils are properly stored and maintained to prevent contamination,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,0.9,text_match,high,,G,False,(G) (G) Utensils are properly stored and maintained to prevent contamination
(G) Materials are stored in designated locations ,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.1,0.739,text_match,medium,,G,False,(G) Materials are stored in designated locations 
(G) Materials are stored in designated locations according to specification,Avoidance of Falling Foreign Objects,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.1,0.9,text_match,high,,O,False,(G) Materials are stored in designated locations according to specification
(G) Materials are stored in designated locations according to specification,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.1,0.9,text_match,high,,G,False,(G) Materials are stored in designated locations according to specification
(G) Measures are in place to avoid falling foreign objects into food is verified,Storage/Maintenance of Utensils,1,4,交叉污染防控,Prevention of Cross-contamination,4.3.1,0.9,text_match,high,,G,False,(G) Measures are in place to avoid falling foreign objects into food is verified
(G) Utensils are properly stored and maintained to prevent contamination,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,0.9,text_match,high,,G,False,(G) Utensils are properly stored and maintained to prevent contamination
(L) Materials are stored in designated locations according to specification is verified,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.1,0.9,text_match,high,L,L,False,(L) Materials are stored in designated locations according to specification is v
(L) Materials is stored in designated locations according to specification,Storage/Maintenance of Utensils,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.1,0.965,text_match,high,L,L,False,(L) Materials is stored in designated locations according to specification
(L) Utensils are properly stored and maintained to prevent contamination,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,1.0,text_match,high,L,O,True,(L) Utensils are properly stored and maintained to prevent contamination
(L) Utensils are properly stored and maintained to prevent contamination,Storage/Maintenance of Utensils,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,1.0,text_match,high,L,L,False,(L) Utensils are properly stored and maintained to prevent contamination
(S) Utensils are properly stored and maintained to prevent contamination,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,1.0,text_match,high,S,S,False,(S) Utensils are properly stored and maintained to prevent contamination
Cutting boards and utensils is designated for specific food types,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.2,0.962,text_match,high,,L,False,Cutting boards and utensils is designated for specific food types
Measures are in place to avoid falling for,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.3.1,0.9,text_match,high,,M,False,Measures are in place to avoid falling for
Measures are in place to avoid falling foreign objects into food is verified,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.3.1,0.9,text_match,high,,M,False,Measures are in place to avoid falling foreign objects into food is verified
Raw and cooked food items are stored separately t,Avoidance of Falling Foreign Objects,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.1,0.9,text_match,high,,G,False,Raw and cooked food items are stored separately t
Raw and cooked food items are stored separately to prevent cross contamination is verified,Material Storage Location Specification,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.1,0.9,text_match,high,,O,False,Raw and cooked food items are stored separately to prevent cross contamination i
Raw and cooked food items are stored separately to prevent cross contamination is verified,Storage/Maintenance of Utensils,1,4,交叉污染防控,Prevention of Cross-contamination,4.1.1,0.9,text_match,high,,O,False,Raw and cooked food items are stored separately to prevent cross contamination i
Utensils are properly stored and maintained ,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,0.9,text_match,high,,L,False,Utensils are properly stored and maintained 
Utensils is properly stored and maintained to prevent contamination,Cross Contamination,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,0.963,text_match,high,,O,False,Utensils is properly stored and maintained to prevent contamination
Utensils is properly stored and maintained to prevent contamination,Storage/Maintenance of Utensils,1,4,交叉污染防控,Prevention of Cross-contamination,4.2.2,0.963,text_match,high,,M,False,Utensils is properly stored and maintained to prevent contamination
(G) (L) Food processing area is maintained in clean and sanitary condition,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.3.1,0.9,text_match,high,,G,False,(G) (L) Food processing area is maintained in clean and sanitary condition
(L) (G) Customer area tables and seating are clean and well-maintained,Food Processing Area,1,5,清洁卫生,Sanitation and Hygiene,5.4.1,0.9,text_match,high,L,L,False,(L) (G) Customer area tables and seating are clean and well-maintained
(L) (L) Trash cans are emptied regularly and lids are in working condition,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,0.9,text_match,high,L,L,False,(L) (L) Trash cans are emptied regularly and lids are in working condition
(L) Equipment and food processing utensils are cleaned after each use,Food Processing Area,1,5,清洁卫生,Sanitation and Hygiene,5.2.1,1.0,text_match,high,L,L,False,(L) Equipment and food processing utensils are cleaned after each use
(L) Equipment and food processing utensils are cleaned after each use,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.2.1,1.0,text_match,high,L,L,False,(L) Equipment and food processing utensils are cleaned after each use
"(L) Operation stands, shelves, cabinets and water sinks are clean and orderly",Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,1.0,text_match,high,L,O,True,"(L) Operation stands, shelves, cabinets and water sinks are clean and orderly"
(L) Trash cans are emptied regularly and lids are in working condition,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,1.0,text_match,high,L,O,True,(L) Trash cans are emptied regularly and lids are in working condition
"(S) (G) Operation stands, shelves, cabinets and water sinks are clean and orderly",Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.9,text_match,high,S,S,False,"(S) (G) Operation stands, shelves, cabinets and water sinks are clean and orderl"
Cleaning and disinfection procedures are followed according to schedule is verified,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.1.1,0.9,text_match,high,,L,False,Cleaning and disinfection procedures are followed according to schedule is verif
Cleaning schedule is posted and si,"Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.1.2,0.9,text_match,high,,L,False,Cleaning schedule is posted and si
Customer area tables and seating is clean and well-maintained,"Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.4.1,0.959,text_match,high,,O,False,Customer area tables and seating is clean and well-maintained
Equipment and food processing utensils are,Customer Area,1,5,清洁卫生,Sanitation and Hygiene,5.2.1,0.9,text_match,high,,L,False,Equipment and food processing utensils are
"Floors, walls and ceilings in food areas are clean and in good repair is verified","Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.3.2,0.9,text_match,high,,O,False,"Floors, walls and ceilings in food areas are clean and in good repair is verifie"
"Floors, walls and ceilings in food areas is clean and in good repair",Food Processing Area,1,5,清洁卫生,Sanitation and Hygiene,5.3.2,0.964,text_match,high,,M,False,"Floors, walls and ceilings in food areas is clean and in good repair"
Food processing area is maintained in clean and sanitary condition is verified,"Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.3.1,0.9,text_match,high,,L,False,Food processing area is maintained in clean and sanitary condition is verified
"Operation stands, shelves, cabinets and water sinks are clean and orderly is verified","Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.9,text_match,high,,L,False,"Operation stands, shelves, cabinets and water sinks are clean and orderly is ver"
"Operation stands, shelves, cabinets and water sinks is clean and orderly",Equipment and Food Processing Utensils,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.966,text_match,high,,O,False,"Operation stands, shelves, cabinets and water sinks is clean and orderly"
"Operation stands, shelves, cabinets and water sinks is clean and orderly",Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.2.2,0.966,text_match,high,,G,False,"Operation stands, shelves, cabinets and water sinks is clean and orderly"
Trash cans are emptied regularly and lids a,"Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.4.2,0.9,text_match,high,,L,False,Trash cans are emptied regularly and lids a
Trash cans are emptied regularly and lids a,Trash Cans,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,0.9,text_match,high,,L,False,Trash cans are emptied regularly and lids a
Trash cans are emptied regularly and lids are in working condition,Food Processing Area,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,1.0,text_match,high,,L,False,Trash cans are emptied regularly and lids are in working condition
Trash cans are emptied regularly and lids are in working condition,Procedures for Cleaning and Disinfection,1,5,清洁卫生,Sanitation and Hygiene,5.4.2,1.0,text_match,high,,G,False,Trash cans are emptied regularly and lids are in working condition
Trash cans is emptied regularly and lids is in working condition,"Operation Stand, Shelf, Cabinet and Water Sink",1,5,清洁卫生,Sanitation and Hygiene,5.4.2,0.923,text_match,high,,O,False,Trash cans is emptied regularly and lids is in working condition
Product storage conditions meet specifi,Operating Specifications,2,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.1,0.9,text_match,high,,G,False,Product storage conditions meet specifi
Temperature logs is completed and recorded at required intervals,Expiration Date,2,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.961,text_match,high,,L,False,Temperature logs is completed and recorded at required intervals
Temperature monitoring devices are installed in all refrigerators and freezers is verified,Expiration Date,2,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,,O,False,Temperature monitoring devices are installed in all refrigerators and freezers i
(G) Product storage conditions meet specification requirements,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.1,0.9,text_match,high,,L,False,(G) Product storage conditions meet specification requirements
(G) Product storage conditions meet specification requirements,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.1,0.9,text_match,high,,L,False,(G) Product storage conditions meet specification requirements
(G) Temperature logs are completed and recorded at required intervals,Product Storage Conditions,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.9,text_match,high,,G,False,(G) Temperature logs are completed and recorded at required intervals
(G) Temperature monitoring devices are installed in all refrigerators and freezers is verified,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,,G,False,(G) Temperature monitoring devices are installed in all refrigerators and freeze
(G) Temperature monitoring devices is installed in all refrigerators and freezers,Product Storage Conditions,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.943,text_match,high,,G,False,(G) Temperature monitoring devices is installed in all refrigerators and freezer
(G) Unqualified goods are segregated and properly documented,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.9,text_match,high,,L,False,(G) Unqualified goods are segregated and properly documented
(G) Unqualified goods are segregated and properly documented,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.9,text_match,high,,G,False,(G) Unqualified goods are segregated and properly documented
(L) Expiration dates are checked daily and expired items are removed,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,1.0,text_match,high,L,M,True,(L) Expiration dates are checked daily and expired items are removed
(L) Temperature monitoring devices are installed in all refrigerators and freezers,Storage and Inventory Transfer of Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,1.0,text_match,high,L,L,False,(L) Temperature monitoring devices are installed in all refrigerators and freeze
(L) Unqualified goods are segregated and properly documented is verified,Storage and Inventory Transfer of Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.9,text_match,high,L,L,False,(L) Unqualified goods are segregated and properly documented is verified
(S) Temperature logs are completed and recorded at required intervals,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,1.0,text_match,high,S,S,False,(S) Temperature logs are completed and recorded at required intervals
Expiration dates are checked daily and expired items are removed is verified,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,0.9,text_match,high,,O,False,Expiration dates are checked daily and expired items are removed is verified
Expiration dates is checked daily and expired items is removed,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.1,0.921,text_match,high,,L,False,Expiration dates is checked daily and expired items is removed
Food items are stored using FIFO method with proper date labels is verified,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.2,0.9,text_match,high,,G,False,Food items are stored using FIFO method with proper date labels is verified
Food items is stored using FIFO method with proper date labels,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.2.2,0.96,text_match,high,,G,False,Food items is stored using FIFO method with proper date labels
Food preparation follows standard operating specifications,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.3.2,1.0,text_match,high,,O,False,Food preparation follows standard operating specifications
Temperature logs are completed and recorded at required intervals is verified,Expiration Date,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.9,text_match,high,,G,False,Temperature logs are completed and recorded at required intervals is verified
Temperature logs are completed and recorded at required intervals is verified,Operating Specifications,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.9,text_match,high,,G,False,Temperature logs are completed and recorded at required intervals is verified
Temperature logs is completed and recorded at required intervals,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.2,0.961,text_match,high,,O,False,Temperature logs is completed and recorded at required intervals
Temperature monitoring devices are installed in a,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,,S,False,Temperature monitoring devices are installed in a
Temperature monitoring devices are installed in a,Unqualified Goods,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.9,text_match,high,,G,False,Temperature monitoring devices are installed in a
Temperature monitoring devices is installed in all refrigerators and freezers,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.968,text_match,high,,G,False,Temperature monitoring devices is installed in all refrigerators and freezers
Temperature monitoring devices is installed in all refrigerators and freezers,Product Storage Conditions,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.1.1,0.968,text_match,high,,O,False,Temperature monitoring devices is installed in all refrigerators and freezers
Unqualified goods are segregated and properly documented is verified,Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.9,text_match,high,,L,False,Unqualified goods are segregated and properly documented is verified
Unqualified goods is segregated and properly documented,Product Storage Conditions,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.955,text_match,high,,O,False,Unqualified goods is segregated and properly documented
Unqualified goods is segregated and properly documented,Storage and Inventory Transfer of Food,1,6,产品与有效期管理,Product Procedures & Expiry Date Management,6.4.1,0.955,text_match,high,,L,False,Unqualified goods is segregated and properly documented
Facility structures is inspected and maintained in good condition,Lights,2,7,设备设施维护,Maintenance of Equipment and Facilities,7.1.2,0.962,text_match,high,,G,False,Facility structures is inspected and maintained in good condition
Refrigeration equipment is functioning within proper temperature ranges,Equipment Inspection and Maintenance,2,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.2,1.0,text_match,high,,O,False,Refrigeration equipment is functioning within proper temperature ranges
(G) Facility structures are inspected and maintained in good condition,Lights,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.1.2,0.9,text_match,high,,O,False,(G) Facility structures are inspected and maintained in good condition
(G) Lighting fixtures in food preparation areas ar,Lights,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.1,0.754,text_match,medium,,G,False,(G) Lighting fixtures in food preparation areas ar
(G) Lighting fixtures in food preparation areas are protected and functional,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.1,0.9,text_match,high,,G,False,(G) Lighting fixtures in food preparation areas are protected and functional
(L) Equipment is inspected regularly and maintenance records is kept,Equipment Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.1.1,0.961,text_match,high,L,L,False,(L) Equipment is inspected regularly and maintenance records is kept
(L) Refrigeration equipment is functioning within proper temperature ranges,Equipment Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.2,1.0,text_match,high,L,L,False,(L) Refrigeration equipment is functioning within proper temperature ranges
(L) Refrigeration equipment is functioning within proper temperature ranges,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.2,1.0,text_match,high,L,L,False,(L) Refrigeration equipment is functioning within proper temperature ranges
Equipment is inspected regularly and maint,Equipment Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.1.1,0.9,text_match,high,,G,False,Equipment is inspected regularly and maint
Equipment is inspected regularly and maintenance records is kept,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.1.1,0.961,text_match,high,,O,False,Equipment is inspected regularly and maintenance records is kept
Lighting fixtures in food preparation areas are protected and functional,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.1,1.0,text_match,high,,O,False,Lighting fixtures in food preparation areas are protected and functional
Lighting fixtures in food preparation areas is protected and functional,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.1,0.965,text_match,high,,O,False,Lighting fixtures in food preparation areas is protected and functional
Refrigeration equipment is functioning within proper temperature ranges,Facility Inspection and Maintenance,1,7,设备设施维护,Maintenance of Equipment and Facilities,7.2.2,1.0,text_match,high,,L,False,Refrigeration equipment is functioning within proper temperature ranges
(G) MSDS sheets are available for all chemicals used on premises,Chemical Mark/Storage,2,8,化学品管理,Chemicals,8.2.1,0.9,text_match,high,,O,False,(G) MSDS sheets are available for all chemicals used on premises
Chemical storage area is separate from food preparation and storage areas,Chemical Mark/Storage,2,8,化学品管理,Chemicals,8.1.2,1.0,text_match,high,,O,False,Chemical storage area is separate from food preparation and storage areas
(L) (G) Chemical storage area is separate from food preparation and storage areas,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.2,0.9,text_match,high,L,L,False,(L) (G) Chemical storage area is separate from food preparation and storage area
(L) All chemicals are properly labeled and stored in designated area,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.1,1.0,text_match,high,L,L,False,(L) All chemicals are properly labeled and stored in designated area
(L) Chemical storage area is separate from food preparation and storage areas,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.2,1.0,text_match,high,L,O,True,(L) Chemical storage area is separate from food preparation and storage areas
(L) MSDS sheets are available for all chemic,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.2.1,0.9,text_match,high,L,L,False,(L) MSDS sheets are available for all chemic
(S) Chemical storage area is separate from food pr,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.2,0.9,text_match,high,S,S,False,(S) Chemical storage area is separate from food pr
All chemicals are properly labeled and sto,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.1,0.9,text_match,high,,O,False,All chemicals are properly labeled and sto
All chemicals is properly labeled and stored in designated area,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.1.1,0.961,text_match,high,,L,False,All chemicals is properly labeled and stored in designated area
MSDS sheets are available for all chemicals used on premises,Chemical Mark/Storage,1,8,化学品管理,Chemicals,8.2.1,1.0,text_match,high,,G,False,MSDS sheets are available for all chemicals used on premises
No signs of insect or rodent activity observed during inspection,Insect Pest Control Facilities & Suppliers,2,9,虫害防控,Pests Control,9.2.1,1.0,text_match,high,,L,False,No signs of insect or rodent activity observed during inspection
