check_date,month,store_serial,store_name,checklist_number,check_category,report_score,module_id,module_cn,severity,deduction_value,label,matched_clause,check_items,issue_description,anomaly
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,8,化学品管理,O,0,Chemical Mark/Storage,8.1.2,Chemical storage area is separate from food preparation and storage areas,Mold observed on ceiling tiles near ventilation duct,False
2026-01-06,2026-01,US00008,JFK Terminal 1,CK-2026-2007,Store food safety self-check,94,4,交叉污染防控,G,-2,Storage/Maintenance of Utensils,4.3.1,(G) Measures are in place to avoid falling foreign objects into food is verified,Light fixture cover cracked in food prep area,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,9,虫害防控,L,-1,No pests enter,9.2.2,(L) (L) All entry points are sealed to prevent pests from entering,Food item past expiration date found in cold storage area,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,10,饮用水与管道系统,G,-2,Water Sinks & Pipes,10.2.1,(G) (L) Water sinks and pipes are in good condition without leaks,Employee health certificate expired last month,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,12,门店稽核管理,G,-2,Requirements,12.1.1,(L) Store audit management procedures and checklists are followed,Food items stored directly on floor in dry storage room,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,7,设备设施维护,L,-1,Facility Inspection and Maintenance,7.2.2,(L) Refrigeration equipment is functioning within proper temperature ranges,Food items stored directly on floor in dry storage room,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,6,产品与有效期管理,O,0,Product Storage Conditions,6.1.1,Temperature monitoring devices is installed in all refrigerators and freezers,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,10,饮用水与管道系统,G,-2,Grease traps&Residue traps&Sewer lines,10.2.1,Water sinks and pipes is in good condition without leaks,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,6,产品与有效期管理,G,-2,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,6.1.1,Temperature monitoring devices is installed in all refrigerators and freezers,Food items stored directly on floor in dry storage room,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,2,员工健康与个人卫生,G,-2,Personal Hygiene,2.1.1,All food handlers have valid health certificates on file is verified,Handwashing station missing soap dispenser refill,False
2026-01-06,2026-01,US00009,Columbus Circle,CK-2026-2008,Store food safety self-check,95,5,清洁卫生,L,-1,Food Processing Area,5.4.1,(L) (G) Customer area tables and seating are clean and well-maintained,Food storage containers not labeled with preparation date,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,11,工作场所安全,L,-1,Workplace Safety,11.2.1,Fire extinguisher is inspected and within service date is verified,No air gap found in plumbing connection under three-compartment sink,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,1,证照文件记录,L,-1,Government inspection,1.1.1,(G) Store has valid food service license prominently displayed,Water filter replacement is overdue by two weeks,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,4,交叉污染防控,O,0,Material Storage Location Specification,4.1.1,Raw and cooked food items are stored separately to prevent cross contamination is verified,Handwashing station missing soap dispenser refill,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,10,饮用水与管道系统,O,0,Potable Water Supply is Adequate,10.1.1,Water filtration device is installed and filter is changed on schedule,"Ice machine leaking water, needs repair by maintenance team",False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,9,虫害防控,G,-2,Insect Pest Control Facilities & Suppliers,9.1.1,Pest control service contract is current ,Food items stored directly on floor in dry storage room,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,10,饮用水与管道系统,L,-1,Grease traps&Residue traps&Sewer lines,10.2.1,Water sinks and pipes is in good condition without leaks,No air gap found in plumbing connection under three-compartment sink,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,6,产品与有效期管理,G,-2,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,6.1.1,(G) Temperature monitoring devices are installed in all refrigerators and freezers is verified,Food items stored directly on floor in dry storage room,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,3,供应商管理,G,-2,Approved Goods,3.2.1,(G) Incoming goods are inspected and documented upon delivery,Temperature log not completed for main refrigerator today,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,12,门店稽核管理,L,-1,Requirements,12.1.2,Previous audit findings have been addressed and documented,Pest trap behind counter not checked in 30+ days,False
2026-01-07,2026-01,US00003,Bryant Park,CK-2026-2003,Store food safety self-check,86,6,产品与有效期管理,O,0,Product Storage Conditions,6.4.1,Unqualified goods is segregated and properly documented,Employee health certificate expired last month,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,6,产品与有效期管理,S,-5,Expiration Date,6.1.2,(S) Temperature logs are completed and recorded at required intervals,Pest trap behind counter not checked in 30+ days,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,6,产品与有效期管理,O,0,Expiration Date,6.3.1,Expiration dates are checked daily and expired items are removed is verified,Employee health certificate expired last month,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,5,清洁卫生,L,-1,"Operation Stand, Shelf, Cabinet and Water Sink",5.2.2,"Operation stands, shelves, cabinets and water sinks are clean and orderly is verified",Cutting board has deep grooves and needs replacement,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,6,产品与有效期管理,O,0,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,6.3.2,Food preparation follows standard operating specifications,Mold observed on ceiling tiles near ventilation duct,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,2,员工健康与个人卫生,G,-2,Personal Hygiene,2.1.2,(G) Employee health screening records are up to date,"Ice machine leaking water, needs repair by maintenance team",False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,4,交叉污染防控,G,-2,Cross Contamination,4.2.1,(G) Materials are stored in designated locations ,Cutting board has deep grooves and needs replacement,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,12,门店稽核管理,L,-1,Requirements,12.1.1,(L) Store audit management procedures and ch,Food storage containers not labeled with preparation date,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,11,工作场所安全,S,-5,Workplace Safety,11.2.1,Fire extinguisher is inspected and within service date,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,2,员工健康与个人卫生,L,-1,Disposable Gloves and Blue Bandages,2.3.2,(L) Disposable gloves are used during food preparati,"Ice machine leaking water, needs repair by maintenance team",False
2026-01-08,2026-01,US00005,Midtown East,CK-2026-2005,Store food safety self-check,87,6,产品与有效期管理,L,-1,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,6.4.1,(G) Unqualified goods are segregated and properly documented,Temperature log not completed for main refrigerator today,False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,9,虫害防控,G,-2,No Sign of Insect Pests,9.1.2,Pest control facilities including traps is properly maintained,"Ice machine leaking water, needs repair by maintenance team",False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,4,交叉污染防控,O,0,Storage/Maintenance of Utensils,4.1.1,Raw and cooked food items are stored separately to prevent cross contamination is verified,Chemical storage bottles not properly labeled with contents,False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,10,饮用水与管道系统,O,0,Water Filtration Device,10.1.2,(L) Potable water supply is adequate for all operational needs,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,2,员工健康与个人卫生,O,0,Employees' Health,2.3.2,(L) Disposable gloves are used during food preparation and changed between tasks,Employee health certificate expired last month,False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,3,供应商管理,L,-1,Approved Goods,3.1.1,(L) (G) All food supplies are from approved suppliers on the vendor list,Mold observed on ceiling tiles near ventilation duct,False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,3,供应商管理,G,-2,Approved Goods,3.1.1,(G) All food supplies are from approved suppliers on the vendor list,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,5,清洁卫生,L,-1,Customer Area,5.2.1,Equipment and food processing utensils are,"Floor not clean under the sink area, standing water observed",False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,12,门店稽核管理,L,-1,Requirements,12.2.1,(L) Corrective action records are maintained for all identified issues is verified,Freezer temperature reading above -18C acceptable range,False
2026-01-10,2026-01,US00006,28th & 6th,CK-2026-2006,Store food safety self-check,90,5,清洁卫生,O,0,"Operation Stand, Shelf, Cabinet and Water Sink",5.4.2,Trash cans is emptied regularly and lids is in working condition,Freezer temperature reading above -18C acceptable range,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,2,员工健康与个人卫生,G,-2,Personal certificate,2.3.2,(G) Disposable gloves are used during food preparation and changed between tasks,Mold observed on ceiling tiles near ventilation duct,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,8,化学品管理,L,-1,Chemical Mark/Storage,8.2.1,(L) MSDS sheets are available for all chemic,Gloves not worn during food preparation observed,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,4,交叉污染防控,L,-1,Storage/Maintenance of Utensils,4.2.1,(L) Materials is stored in designated locations according to specification,Temperature log not completed for main refrigerator today,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,11,工作场所安全,G,-2,Workplace Safety,11.1.1,(L) Workplace safety procedures are posted and employees are trained,Personal items found in food preparation area,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,12,门店稽核管理,L,-1,Requirements,12.2.1,Corrective action records are maintained for all identified issues is verified,Cutting board has deep grooves and needs replacement,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,6,产品与有效期管理,G,-2,Product Storage Conditions,6.1.2,(G) Temperature logs are completed and recorded at required intervals,Food storage containers not labeled with preparation date,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,7,设备设施维护,G,-2,Facility Inspection and Maintenance,7.2.1,(G) Lighting fixtures in food preparation areas are protected and functional,Handwashing station missing soap dispenser refill,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,10,饮用水与管道系统,G,-2,Water Sinks & Pipes,10.2.1,Water sinks and pipes are in good condition without leaks,Food storage containers not labeled with preparation date,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,7,设备设施维护,L,-1,Equipment Inspection and Maintenance,7.2.2,(L) Refrigeration equipment is functioning within proper temperature ranges,Food items stored directly on floor in dry storage room,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,12,门店稽核管理,L,-1,Requirements,12.1.2,Previous audit findings have been addressed and documented,Trash can lid broken and does not close properly,False
2026-01-11,2026-01,US00002,Herald Square,CK-2026-2002,Store food safety self-check,95,2,员工健康与个人卫生,G,-2,Personal certificate,2.2.1,(L) Staff demonstrate proper handwashing technique and frequency,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,6,产品与有效期管理,G,-2,Expiration Date,6.1.2,Temperature logs are completed and recorded at required intervals is verified,Personal items found in food preparation area,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,7,设备设施维护,G,-2,Equipment Inspection and Maintenance,7.2.2,Refrigeration equipment is functioning within proper temperature ranges,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,6,产品与有效期管理,L,-1,Storage and Inventory Transfer of Food,6.1.1,(L) Temperature monitoring devices are installed in all refrigerators and freezers,Pest trap behind counter not checked in 30+ days,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,10,饮用水与管道系统,L,-1,Water Sinks & Pipes,10.2.1,(G) Water sinks and pipes are in good condition without leaks,Personal items found in food preparation area,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,6,产品与有效期管理,G,-2,Operating Specifications,6.2.2,Food items is stored using FIFO method with proper date labels,Freezer temperature reading above -18C acceptable range,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,1,证照文件记录,G,-2,Licenses and certificates,1.2.2,License renewal dates are tracked and updated before expiration is verified,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,4,交叉污染防控,S,0,Cross Contamination,4.2.2,(S) Utensils are properly stored and maintained to prevent contamination,Gloves not worn during food preparation observed,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,6,产品与有效期管理,L,-1,Storage and Inventory Transfer of Food,6.4.1,(L) Unqualified goods are segregated and properly documented is verified,Temperature log not completed for main refrigerator today,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,5,清洁卫生,O,0,Procedures for Cleaning and Disinfection,5.4.2,(L) Trash cans are emptied regularly and lids are in working condition,Personal items found in food preparation area,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,5,清洁卫生,L,-1,Trash Cans,5.4.2,(L) (L) Trash cans are emptied regularly and lids are in working condition,Gloves not worn during food preparation observed,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,1,证照文件记录,O,0,License Documents,1.1.2,Business registration certificate is current and accessible is verified,,False
2026-01-11,2026-01,US00003,Bryant Park,CK-2026-2020,Area food safety Check,87,5,清洁卫生,O,0,Procedures for Cleaning and Disinfection,5.2.2,"(L) Operation stands, shelves, cabinets and water sinks are clean and orderly",Food storage containers not labeled with preparation date,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,5,清洁卫生,L,-1,Food Processing Area,5.2.1,(L) Equipment and food processing utensils are cleaned after each use,Cutting board has deep grooves and needs replacement,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,2,员工健康与个人卫生,L,-1,Employees' Health,2.1.2,(L) (L) Employee health screening records are up to date,Pest trap behind counter not checked in 30+ days,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,6,产品与有效期管理,L,-1,Food,6.4.1,Unqualified goods are segregated and properly documented is verified,Handwashing station missing soap dispenser refill,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,6,产品与有效期管理,G,-2,Unqualified Goods,6.1.1,Temperature monitoring devices are installed in a,Employee health certificate expired last month,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,2,员工健康与个人卫生,L,-1,Disposable Gloves and Blue Bandages,2.3.2,(L) Disposable gloves are used during food preparation and changed between tasks,Chemical storage bottles not properly labeled with contents,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,5,清洁卫生,G,-2,Procedures for Cleaning and Disinfection,5.3.1,(G) (L) Food processing area is maintained in clean and sanitary condition,Food items stored directly on floor in dry storage room,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,9,虫害防控,G,-2,No pests enter,9.1.1,(G) (L) Pest control service contract is current with licensed provider,Temperature log not completed for main refrigerator today,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,7,设备设施维护,G,-2,Lights,7.2.1,(G) Lighting fixtures in food preparation areas ar,Personal items found in food preparation area,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,6,产品与有效期管理,G,-2,Operating Specifications,6.2.1,Product storage conditions meet specifi,Handwashing station missing soap dispenser refill,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,7,设备设施维护,O,0,Equipment Inspection and Maintenance,7.2.2,Refrigeration equipment is functioning within proper temperature ranges,"Floor not clean under the sink area, standing water observed",False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,12,门店稽核管理,L,-1,Requirements,12.2.1,Corrective action records are maintained fo,Personal items found in food preparation area,False
2026-01-11,2026-01,US00004,Wall Street,CK-2026-2004,Store food safety self-check,86,7,设备设施维护,O,0,Lights,7.1.2,(G) Facility structures are inspected and maintained in good condition,Mold observed on ceiling tiles near ventilation duct,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,3,供应商管理,G,-2,Approved Goods,3.1.2,Supplier certifications and quality documents are on file is verified,Freezer temperature reading above -18C acceptable range,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,1,证照文件记录,O,0,License Documents,1.1.1,Store has valid food service license prominently displayed is verified,Chemical storage bottles not properly labeled with contents,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,2,员工健康与个人卫生,S,-5,Employees' Health,2.2.1,Staff demonstrate proper handwashing technique and frequency is verified,Food item past expiration date found in cold storage area,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,2,员工健康与个人卫生,G,-2,Personal certificate,2.3.3,Blue bandages are available and used for any cuts or wounds,Handwashing station missing soap dispenser refill,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,6,产品与有效期管理,L,-1,Food,6.2.1,(G) Product storage conditions meet specification requirements,Employee health certificate expired last month,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,8,化学品管理,L,-1,Chemical Mark/Storage,8.1.1,All chemicals is properly labeled and stored in designated area,Food item past expiration date found in cold storage area,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,1,证照文件记录,L,-1,License Documents,1.2.2,(L) License renewal dates are tracked and updated before expiration,Grease trap cleaning overdue per maintenance schedule,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,1,证照文件记录,L,-1,Licenses and certificates,1.3.1,(L) (G) Government inspection records are maintained on file,Freezer temperature reading above -18C acceptable range,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,8,化学品管理,O,0,Chemical Mark/Storage,8.1.2,(L) Chemical storage area is separate from food preparation and storage areas,Grease trap cleaning overdue per maintenance schedule,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,6,产品与有效期管理,M,-5,Operating Specifications,6.3.1,(L) Expiration dates are checked daily and expired items are removed,Cutting board has deep grooves and needs replacement,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,12,门店稽核管理,L,-1,Requirements,12.2.1,(L) Corrective action records are maintained for all identified issues,Grease trap cleaning overdue per maintenance schedule,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,5,清洁卫生,M,-5,Food Processing Area,5.3.2,"Floors, walls and ceilings in food areas is clean and in good repair",Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,5,清洁卫生,O,0,Equipment and Food Processing Utensils,5.2.2,"Operation stands, shelves, cabinets and water sinks is clean and orderly",Handwashing station missing soap dispenser refill,False
2026-01-12,2026-01,US00005,Midtown East,CK-2026-2018,Area food safety Check,77,11,工作场所安全,L,-1,Workplace Safety,11.2.1,Fire extinguisher is inspected and within service date,Food items stored directly on floor in dry storage room,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,6,产品与有效期管理,L,-1,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,6.2.1,(G) Product storage conditions meet specification requirements,Food storage containers not labeled with preparation date,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,6,产品与有效期管理,L,-1,Storage and Inventory Transfer of Food,6.4.1,Unqualified goods is segregated and properly documented,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,5,清洁卫生,L,-1,Food Processing Area,5.4.2,Trash cans are emptied regularly and lids are in working condition,Grease trap cleaning overdue per maintenance schedule,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,2,员工健康与个人卫生,M,-5,Handwashing Standards,2.2.2,Handwashing station is fully stocked with,Mold observed on ceiling tiles near ventilation duct,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,1,证照文件记录,L,-1,Licenses and certificates,1.1.2,(L) Business registration certificate is current and accessible,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,5,清洁卫生,L,-1,"Operation Stand, Shelf, Cabinet and Water Sink",5.3.1,Food processing area is maintained in clean and sanitary condition is verified,Gloves not worn during food preparation observed,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,4,交叉污染防控,O,0,Avoidance of Falling Foreign Objects,4.2.1,(G) Materials are stored in designated locations according to specification,Food item past expiration date found in cold storage area,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,10,饮用水与管道系统,G,-2,Water Sinks & Pipes,10.1.2,(G) Potable water supply is adequate for all operational needs,Cutting board has deep grooves and needs replacement,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,1,证照文件记录,G,-2,Licenses and certificates,1.2.1,All required government permits are posted in customer-visible area is verified,Employee health certificate expired last month,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,2,员工健康与个人卫生,G,-2,Disposable Gloves and Blue Bandages,2.2.2,Handwashing station is fully stocked with soap and paper towels,Raw chicken stored above ready-to-eat items in refrigerator,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,10,饮用水与管道系统,L,-1,Water Filtration Device,10.2.2,"Grease traps, residue traps and sewer lines are cleaned regularly is verified",Chemical storage bottles not properly labeled with contents,False
2026-01-14,2026-01,US00010,Union Square,CK-2026-2009,Store food safety self-check,97,4,交叉污染防控,M,-5,Material Storage Location Specification,4.3.1,Measures are in place to avoid falling for,Gloves not worn during food preparation observed,False
2026-01-16,2026-01,US00001,Times Square,CK-2026-2012,Store food safety audit,85,6,产品与有效期管理,O,0,Expiration Date,6.1.1,Temperature monitoring devices are installed in all refrigerators and freezers is verified,Light fixture cover cracked in food prep area,False
2026-01-16,2026-01,US00001,Times Square,CK-2026-2012,Store food safety audit,85,2,员工健康与个人卫生,L,-1,Employees' Health,2.2.1,(L) (L) Staff demonstrate proper handwashing technique and frequency,Personal items found in food preparation area,False
2026-01-16,2026-01,US00001,Times Square,CK-2026-2012,Store food safety audit,85,4,交叉污染防控,M,-5,Material Storage Location Specification,4.3.1,Measures are in place to avoid falling foreign objects into food is verified,Freezer temperature reading above -18C acceptable range,False
2026-01-16,2026-01,US00001,Times Square,CK-2026-2012,Store food safety audit,85,3,供应商管理,O,0,Approved Goods,3.2.1,(L) Incoming goods are inspected and documented upon delivery,Personal items found in food preparation area,False
